organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
829452642,LULU SADAF RESTAURANT AS,2022-08-10,False,0,2022-05-09,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0192,OSLO,['Oslo gate 18B'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/829452642
917429790,MARDIN RESTAURANT AS,2016-07-06,True,0,2016-06-22,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0183,OSLO,"[""Osterhaus' gate 7B""]",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/917429790
815977882,KEBABISH ORIGINAL OSLO AS,2015-09-25,True,22,2015-09-11,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0187,OSLO,['Breigata 12'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/815977882
915357679,BALI SIDHU BURGER BAR BALJINDER KAUR,2015-05-08,True,25,,True,False,False,False,False,False,Bokmål,ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,Drift av restauranter og kafeer,56.101,Norge,NO,0366,OSLO,"['c/o Burger King', 'Valkyriegaten 11']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/915357679
920195253,UCHI THI NGOC HUONG DUONG,2018-01-11,True,9,,True,False,False,False,False,False,Bokmål,ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,Drift av restauranter og kafeer,56.101,Norge,NO,0180,OSLO,['Grensen 20'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/920195253
924009519,ADAMSTUEN SUSHI LE AS,2019-12-04,True,6,2019-10-01,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0359,OSLO,['Ullevålsveien 95A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/924009519
924709537,NAAN & CURRY FATEN AHMED,2020-03-05,True,0,,False,False,False,False,False,False,Bokmål,ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,Drift av gatekjøkken,56.102,Norge,NO,0150,OSLO,['Akershusstranda 25'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/924709537
923400435,KONCHA DRIFT 1 AS,2019-09-16,True,9,2019-08-20,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0484,OSLO,['Sandakerveien 102D'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/923400435
914918960,PELOTON AS,2015-02-13,False,0,2015-01-23,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0183,OSLO,['Torggata 35'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/914918960
940965098,ASIA AS,1995-02-19,True,85,1986-07-01,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0250,OSLO,['Grundingen 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/940965098
928737969,JEWEL AS,2022-02-26,True,37,2022-01-25,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0256,OSLO,['Oscars gate 81'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/928737969
