organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
927526891,SUSHI HOLMLIA AS,2021-08-12,False,0.0,2021-04-26,True,False,False,True,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,1255,OSLO,['Holmlia Senter vei 10'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927526891
926646419,MANDI RESTAURANT AS,2021-02-22,False,0.0,2021-02-09,True,False,False,True,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0578,OSLO,['Tøyengata 29A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/926646419
921505337,PUNJAB LØKKA AS,2018-10-04,True,21.0,2018-09-13,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0552,OSLO,['Olaf Ryes plass 10'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/921505337
911956535,SAMI A N RESTAURANTDRIFT AS,2013-05-16,True,5.0,2013-05-07,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av gatekjøkken,56.102,Norge,NO,0190,OSLO,"['c/o Subway Grønland', 'Grønlandsleiret 23']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/911956535
918928405,FURSET CATERING AS,2017-05-05,True,133.0,2017-03-31,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Cateringvirksomhet,56.210,Norge,NO,0976,OSLO,['Østre Aker vei 243'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/918928405
930727334,SVINGEN HOSPITALITY AS,2023-01-27,True,0.0,2023-01-03,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111,Norge,NO,0192,OSLO,['Ekebergveien 11'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/930727334
928546861,BARRAMON SOMMERRO AS,2022-01-14,True,12.0,2021-12-07,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0198,OSLO,['Sundveien 1B'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/928546861
919741570,OCULUS CAPITAL AS,2017-10-26,True,26.0,2017-10-02,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0167,OSLO,"['V/ Rust', 'Hegdehaugsveien 22A']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/919741570
953964333,BIG HORN STEAK HOUSE AS,1995-03-12,True,66.0,1989-10-31,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0250,OSLO,"['Aker Brygge', 'Fjordalléen 2']",OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/953964333
928334562,PEPPERKODEN AS,2021-12-14,True,18.0,2021-11-02,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0191,OSLO,['Dronning Eufemias gate 14'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/928334562
923161023,KYLLING & PIZZA AS,2019-08-06,True,21.0,2019-06-19,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0986,OSLO,['Tokerudberget 16'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/923161023
924579862,KASTELLET DRIFT AS,2020-02-11,True,26.0,2019-11-07,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0181,OSLO,['Torggata 11'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/924579862
980147622,DELICATESSEN GRÜNERLØKKA AS,1998-09-30,True,24.0,1998-08-01,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0550,OSLO,['Søndre gate 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/980147622
