organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,overordnetEnhet,oppstartsdato,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,beliggenhetsadresse_land,beliggenhetsadresse_landkode,beliggenhetsadresse_postnummer,beliggenhetsadresse_poststed,beliggenhetsadresse_adresse,beliggenhetsadresse_kommune,beliggenhetsadresse_kommunenummer,links_self_href,links_overordnetEnhet_href,hjemmeside,datoEierskifte
987143622,ORIENTAL CUISINE RESTAURANTDRIFT AS,2004-08-17,False,10.0,987127554,2004-07-31,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0159,OSLO,['Arbeidergata 2'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/987143622,https://data.brreg.no/enhetsregisteret/api/enheter/987127554,,
923157867,SPICE ROOTZ CC AS,2019-08-05,False,14.0,923138242,2019-06-25,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0283,OSLO,['Lilleakerveien 16'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/923157867,https://data.brreg.no/enhetsregisteret/api/enheter/923138242,,
918643222,THE GOLDEN CHIMP AS,2017-03-01,False,20.0,918602364,2017-02-03,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0578,OSLO,['Heimdalsgata 37'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/918643222,https://data.brreg.no/enhetsregisteret/api/enheter/918602364,thegoldenchimp.no,
972211613,RORBUA VERTSHUS,1995-02-22,False,26.0,996697916,1990-07-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0250,OSLO,['Stranden 71'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/972211613,https://data.brreg.no/enhetsregisteret/api/enheter/996697916,,2012-09-01
930140457,FLAMME BURGER FROGNER AS,2022-11-02,False,14.0,929957377,2022-10-03,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0257,OSLO,['Skovveien 3'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/930140457,https://data.brreg.no/enhetsregisteret/api/enheter/929957377,,
822625312,ESPRESSO HOUSE NORGE AS AVD LINNERUD SENTER 862,2019-04-10,False,16.0,911592770,2019-09-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0594,OSLO,['Erich Mogensøns vei 38'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/822625312,https://data.brreg.no/enhetsregisteret/api/enheter/911592770,,
983865380,CAFE STAMBOUL AS,2001-11-01,False,7.0,997448383,2001-10-25,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av restauranter og kafeer,56.101,Norge,NO,0477,OSLO,['Vogts gate 45'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/983865380,https://data.brreg.no/enhetsregisteret/api/enheter/997448383,,2011-11-01
915942717,GREZZO,2015-09-19,False,12.0,915927106,2015-12-01,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av puber,56.301,Norge,NO,0183,OSLO,['Bernt Ankers gate 37'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/915942717,https://data.brreg.no/enhetsregisteret/api/enheter/915927106,,
930180475,ROSSI,2022-11-08,False,0.0,917529922,2022-11-08,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Drift av gatekjøkken,56.102,Norge,NO,0157,OSLO,['Nedre Slottsgate 8'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/930180475,https://data.brreg.no/enhetsregisteret/api/enheter/917529922,,
918847561,BAKER NORDBY GRORUD AVD 8,2017-04-10,False,4.0,928038440,2017-04-24,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/BEDR,Butikkhandel med bakervarer og konditorvarer,47.241,Norge,NO,0963,OSLO,['Bergensveien 2A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/underenheter/918847561,https://data.brreg.no/enhetsregisteret/api/enheter/928038440,,2021-11-01
