tilsynid,org_navn,orgnummer,adresse,postnr,poststed,kategori1,kategori2,kategori3,kategori4,karakter1,karakter2,karakter3,karakter4,total_karakter,dato,tilsynsbesoektype,tilsynsobjektid,sakref,status
Z1605031155561990240JNZXE_TilsynAvtale,Sagene Lunsjbar,971761539,MARIDALSVEIEN 153 B,0461,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,1,27042016,0,Z1006052100196441127FKLKX_Tilsynsobjekt,2016/96101,0
Z1911191555196850239PLSDV_TilsynAvtale,Sagene Lunsjbar,971761539,MARIDALSVEIEN 153 B,0461,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,1,0,1,19112019,0,Z1006052100196441127FKLKX_Tilsynsobjekt,2019/236132,0
Z1803221630346290240TLVFU_TilsynAvtale,Apsorn Thai Restaurant,917686149,Vogts gate 64,0477,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,22032018,1,Z1705160921401320382NUWAU_Tilsynsobjekt,2018/45642,0
Z1902220935598360240DBYJX_TilsynAvtale,Roald & Umberto,986309829,Schweigaards gate 56,0656,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,2,0,2,21022019,0,Z1409301317239573182ILZEA_Tilsynsobjekt,2019/46346,0
Z2205121544129680239GOIMZ_TilsynAvtale,Den Glade Gris,999191304,St. Olavs gate 33,0166,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,1,0,1,12052022,0,Z1404150859426863160FYJMF_Tilsynsobjekt,2022/101652,0
Z1711100729021350239YEMBX_TilsynAvtale,Justisen,915982573,MØLLERGATA 15,0179,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,2,2,2,2,09112017,0,Z1604111438091913117EEKNA_Tilsynsobjekt,2017/233741,0
Z1704061503407930239TLVWY_TilsynAvtale,Lysebu,873357312,Lysebuveien 12,0790,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,0,2,2,06042017,0,Z1006052055295001189BXNHW_Tilsynsobjekt,2017/74548,0
Z2002101618146200240ODKDU_TilsynAvtale,Lysebu,873357312,Lysebuveien 12,0790,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,10022020,0,Z1006052055295001189BXNHW_Tilsynsobjekt,2020/29239,0
Z1610280829556410239PLJRC_TilsynAvtale,TGI Fridays Aker Brygge avd 3515,887882932,STRANDEN 39 AKER BRYGGE,0250,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,28102016,1,Z1006052056248861126UWTEU_Tilsynsobjekt,2016/215869,0
Z1705041459214820240FLBYN_TilsynAvtale,TGI Fridays Aker Brygge avd 3515,887882932,STRANDEN 39 AKER BRYGGE,0250,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,04052017,0,Z1006052056248861126UWTEU_Tilsynsobjekt,2017/93735,0
Z1801091134378340240UNNYA_TilsynAvtale,Trafalgar sportsbar,991354549,Keysers Gate 1,0165,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,09012018,1,Z1606031013544090240WVFPG_Tilsynsobjekt,2017/245847,0
Z1902061321375350240CCLIR_TilsynAvtale,Burger King Manglerud,973140272,PLOGVEIEN 6,0679,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,06022019,0,Z1607081212427023251UWWIP_Tilsynsobjekt,2019/32293,0
Z2202081407093760240KPHIK_TilsynAvtale,Cocoa,927629046,Toftes gate 48A,0556,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,1,0,0,0,0,08022022,1,Z2201071334201230391VPNWF_Tilsynsobjekt,2022/4460,0
Z1609190821350530240SEUFI_TilsynAvtale,Peppes Pizza,973116193,KARL JOHANS GATE 1,0154,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,1,0,0,19092016,1,Z1006052055497311127APKTV_Tilsynsobjekt,2016/194572,0
Z2001170636539520239APRQA_TilsynAvtale,Smia Galleri,990355088,OPPLANDSGATA 19,0657,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,16012020,0,Z1606091237284722024ACMTX_Tilsynsobjekt,2020/10311,0
Z2210261151111420240UMIRU_TilsynAvtale,Mother India,924609001,Pilestredet 63,0350,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,2,2,25102022,1,Z2209271821541262103XHJVT_Tilsynsobjekt,2022/210378,0
Z1906111024514410240ZBZAC_TilsynAvtale,ENOTECA VINBAR,980261565,BYGDØY ALLE 59A,0265,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,07062019,0,Z1006052055028311127ROKBA_Tilsynsobjekt,2019/134670,0
Z1911221208123370240LYYNJ_TilsynAvtale,Mondi AS/Tre stuer og bar,913707702,DARRES GATE 1,0175,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,20112019,0,Z1604102217330213252ILMFJ_Tilsynsobjekt,2019/250820,0
Z2210271734564320239DCEAO_TilsynAvtale,La Mayor,926005839,Bernt Ankers Gate 25,0183,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,1,1,1,27102022,0,Z2210271703315641011WJRZQ_Tilsynsobjekt,2022/235949,0
Z1910292141426320240QQVTE_TilsynAvtale,Chez Colin,915022049,FREDENSBORGVEIEN 44,0177,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,2,2,2,0,2,29102019,0,Z1507241209583833184ABIUG_Tilsynsobjekt,2019/215644,0
