,restaurant_name,organisasjonsnummer,avg_rating,rating,text,relative_time_description,author_name
0,Restaurant Oriental,987143622,4.2,5.0,Excellent food and service. Hence crowded and a bit noisy. Easy to feel rushed. But very good all the same.,2 weeks ago,Than Iswari
1,Restaurant Oriental,987143622,4.2,4.0,"Very tasty, amazing servants, nice looking place.  A couple of vegan options, I wish they had more vegan options though. Amazing tofu.",3 months ago,Walamo (Walamo)
2,Restaurant Oriental,987143622,4.2,4.0,"Pretty hidden place that it's only findable if you check the yellow sign on a big, busy street. It's worth going in!

The staff is nice and the food is of quality, with a lot of special flavors and different tastes. It tastes more like Chinese food than other places and they're specialized in Szechuanese food, which is extremely spicy for people not used to it. So if it says medium, don't trust it!",3 years ago,Álvaro Chicote
3,Restaurant Oriental,987143622,4.2,4.0,"The Dumplings were 👌😋
Like this place! Delicious food, casual, cosy, nice stuff, been going there for years!
And will be back! 😃",3 years ago,Elldesign
4,Restaurant Oriental,987143622,4.2,2.0,"The staff was friendly. Out everything we ordered, we only loved the dimsum.",2 years ago,Monica Osorio
5,Spice rootz,923157867,4.7,4.0,"I am not an expert in Indian food but to me the taste and presentation of the food were very satisfying. Staff were very friendly and the atmosphere was nice and calm. These, make the food enjoyable.",6 months ago,Fazel Khakbaz
6,Spice rootz,923157867,4.7,5.0,Discovering spice roots has been one of the  many best things that happened to me in Norway.  The hospitality and ambience is unmatched. We got a chance to try multiple items and everything tasted unique. Prrsonally I don’t like when the experiments are done with authentic Indian food and the chef here tried his best to recreate the cuisine in a unique way. But to my surprise he succeeded with all 5 stars !! Loved the way the flavours were blasting in every dish we tried. Would love to try every single dish on the menu soon 😍. Loved the gur wali chai in the end ! Great work ❤️,6 months ago,Jolly Narula
7,Spice rootz,923157867,4.7,4.0,Very cozy place. Food is always good. This was our second time visiting there for dine in. Many people also come for take away. Good parking place and posh neighbourhood. Employees were helpful. It would be good to invest in couple of air-purifiers.,3 months ago,Asif Touhid
8,Spice rootz,923157867,4.7,5.0,"Unlike other restaurants within Oslo, Asker and Bærum, here every gravy tastes different and it's hand blended spices by the chef himself!

Other signature naan that you will find is the Spicy naaan! It's Yummillicious ❤️

Wonderful ambience and lovely staff! Most humble chef who checks with every customer who drops by! Would definitely recommend you all to visit! I have already visited it 4 times within the last 4 weeks❤️",2 months ago,Leena Sahu
9,Spice rootz,923157867,4.7,1.0,"I spent a quarter of my adult life in Delhi, and another quarter in Europe. This is one of the disgusting ""Indian"" food I had from both the worlds.

Mislead by the positive reviews, I ordered butter chicken, kadai chicken and butter naan.

The nan was like a pizza base or middle eastern Khubz. Butter chicken was too sweet with added sugar. The grilled chicken in the butter chicken was red in colour. I felt it was marinated in food colour (no chilly can give this colour). The karai chicken was disguesting in appearance and taste. Seems the oil in the food was rancid, I still get bad reflux.

The other ""Indian"" restaurants I have been (Zouk, Tika Tika) in Bærum are equally bad. I guess, I have to go to Oslo for good food.",2 years ago,D A
10,The Golden Chimp,918643222,4.4,5.0,"Lovely dumplings! My favourite was the king crab. Every dish has just four pieces, but after a while they are actually surprisingly filling. We didn't have a reservation, but even though they were fully booked, they were able to seat us by a table next to the kitchen, which turned out to be really cozy. Tip: get a side dish (like the kimchi) so you have something to nibble on while waiting for the dumplings. A little pricey, but the quality makes it worth it. The only disappointment was the dessert in my opinion, but that's not enough to deduct a star.",a year ago,Lasse Røvik
